objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,demo_001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/
coll0001,cat1.jpg,,,Cat with Green Background,Alley Cat Allies,2023,Photograph of a cute rescue cat with a green background taken from a rescue organization website. ,cat; Alley Cat Allies,"Chicago, IL",,,https://www.alleycat.org/resources/the-natural-history-of-the-cat/,,Image;StillImage,image/jpeg,eng,,
